	Total Calories	Grains in Ounces	Vegetables in Cups	Fruits in Cups	Dairy in Cups	Protein Foods in Ounces	Oils in Teaspoons	Protein in Grams	% of Calories from Protein	Carbohydrate in Grams	% of Calories from Carbohydrate	Dietary Fiber in Grams	Total Sugars in Grams	Added Sugars in Grams	% of Calories from Added Sugars	Total Fat (% Calories Eaten )	Saturated Fat in Grams	% of Calories from Saturated Fat	Monounsaturated Fat in Grams	Polyunsaturated Fat in Grams	Linoleic Acid in Grams	 - Linolenic Acid in Grams	Omega 3- EPA in Milligrams	Omega 3- DHA in Milligrams	Cholesterol in Milligrams	Calcium in Milligrams	Potassium in Milligrams	Sodium in Milligrams	Copper in Micrograms	Iron in Milligrams	Magnesium in Milligrams	Phosphorus in Milligrams	Selenium in Micrograms	Zinc in Milligrams	Vitamin A in Micrograms RAE	Vitamin B6 in Milligrams	Vitamin B12 in Micrograms	Vitamin C in Milligrams	Vitamin D in Micrograms	Vitamin E in Milligrams AT	Vitamin K in Micrograms	Folate in Micrograms DFE	Thiamin in Milligrams	Riboflavin in Milligrams	Niacin in Milligrams	Choline in Milligrams
03/10/17	1500	2.5	2.0	0.0	0.0	3.5	0.0	58	15	281	75	11	10	0	0	8	4	2	5	3	3	0.3	4	7	133	146	2062	1218	1285	14	145	770	102	10	15	1.9	0.4	10	0	4	2	929	2.0	0.6	21	103
03/11/17	1181	9.0	0.25	0.0	0.0	6.5	0.0	62	21	197	67	5	1	0	0	10	4	3	4	3	2	0.2	97	263	462	186	901	1059	577	11	153	784	129	5	200	1.1	2.5	6	3	2	6	596	1.0	0.6	14	359
03/12/17	2577	6.0	2.0	0.0	0.0	7.5	4.0	141	22	392	61	15	72	54	8	13	10	3	14	10	9	1.3	97	205	190	341	2187	6761	1104	18	279	1084	162	10	1695	2.0	4.8	47	1	6	76	783	1.7	0.9	27	315
03/13/17	1869	5.0	2.0	0.0	0.0	3.5	3.0	56	12	345	74	14	12	0	0	9	3	1	6	7	5	1.0	33	90	50	292	1534	1525	1086	15	225	874	104	7	708	1.7	1.8	63	0	5	250	1069	1.8	0.4	18	141
03/14/17	957	6.0	0.5	1.0	0.0	3.0	0.0	39	16	175	73	4	28	0	0	6	2	2	2	2	1	0.1	4	6	112	103	1066	557	601	8	119	458	62	5	35	1.2	0.3	173	0	1	9	524	1.0	0.4	13	107
03/15/17	1069	7.5	1.75	0.0	0.0	1.5	0.0	29	11	199	75	8	11	0	0	7	1	1	2	2	2	0.3	0	0	16	105	1398	1034	860	9	89	413	49	5	53	1.4	0.7	10	0	4	7	627	1.3	0.2	11	18
03/16/17	1406	9.5	1.25	0.0	0.0	3.5	2.0	48	14	201	57	16	16	0	0	19	5	3	12	8	7	0.9	60	45	106	134	1062	2911	959	4	371	852	80	7	806	1.4	2.0	8	17	5	61	53	0.9	0.3	14	132
03/17/17	837	6.0	1.0	0.75	0.25	0.0	0.0	17	8	183	87	6	40	0	0	3	1	1	1	1	0	0.1	0	0	0	134	1189	255	574	7	148	297	38	3	10	0.7	0.0	96	0	0	10	499	1.0	0.3	8	27
03/18/17	1919	4.5	1.5	0.0	1.75	4.5	1.0	83	17	264	55	14	76	43	9	32	10	5	5	4	3	0.2	1	1	111	596	1325	2450	677	7	168	804	58	7	159	0.9	2.7	32	3	2	8	319	0.8	1.1	11	140
03/19/17	1374	7.0	0.75	5.0	1.0	4.5	2.0	74	22	222	65	20	96	6	2	15	7	5	8	5	4	0.7	1	0	125	798	2805	3568	716	10	212	919	96	7	369	1.5	3.5	275	3	3	77	420	1.6	1.7	20	271
